Cst_Cnt,Sta_ID,ChlorA,Phaeop,T_degC,Salnty,O2ml_L,PO4uM,SiO3uM,NO3uM,Depthm,Date,Year,Month,Julian_Day,Lat_Dec,Lon_Dec,Julian_Date,Wind_Spd,Wave_Ht,Dry_T,Wave_Prd,Barometer
18832,133.0 035.0,0.65,0.425,13.172666666666666,34.336533333333335,2.7849999999999997,,,14.103333333333333,185.13333333333333,1973-03-08,1973,3,67,25.85,-113.5,26731.0,12.0,3.0,19.0,6.0,1001.6
18833,142.7 008.0,2.483333333333333,1.1033333333333333,16.316315789473684,34.93021052631579,2.298421052631579,,27.489473684210523,,94.36842105263158,1973-03-10,1973,3,69,25.026666,-110.75,26733.0,7.0,,19.2,,1001.7
18834,142.0 008.0,0.24,3.33,14.7624,34.83325,2.0672,,,,173.56,1973-03-10,1973,3,69,25.093333,-110.783333,26733.0,4.0,1.0,20.6,3.0,1001.7
18835,120.0 010.0,2.425,2.4829999999999997,15.27,,3.535,1.812,31.675,,79.36,1973-03-11,1973,3,70,28.856666,-113.258333,26734.0,15.0,1.0,18.8,1.0,1001.0
18836,120.0 009.0,5.540909090909091,2.557272727272727,14.281923076923077,,2.8746153846153844,,,,248.0,1973-03-12,1973,3,71,28.878333,-113.191666,26735.0,10.0,1.0,18.9,2.0,1000.8
18837,120.0 006.0,4.611818181818182,2.924545454545455,15.561666666666667,,3.8955555555555557,0.23888888888888887,28.627777777777776,,75.8695652173913,1973-03-12,1973,3,71,28.9,-113.133333,26735.0,4.0,,17.4,,1000.9
18838,118.7 011.0,4.621818181818182,3.112727272727273,15.152727272727274,,3.502272727272727,0.30772727272727274,36.97272727272727,,101.66666666666667,1973-03-12,1973,3,71,29.083333,-113.475,26735.0,16.0,,17.5,,1000.9
18839,118.7 010.0,5.740909090909091,3.1481818181818184,14.829615384615384,,3.293846153846154,,,20.173076923076923,147.875,1973-03-12,1973,3,71,29.116666,-113.416666,26735.0,19.0,1.0,14.2,1.0,1001.0
18840,118.7 009.0,5.327272727272727,2.250909090909091,14.71875,,3.2283333333333335,0.29625,39.9625,,151.0,1973-03-12,1973,3,71,29.155,-113.366666,26735.0,11.0,1.0,14.5,3.0,1001.0
18842,117.0 011.0,4.611,3.146,15.022380952380953,,3.4580952380952383,,,18.633333333333333,112.36,1973-03-12,1973,3,71,29.358333,-113.65,26735.0,12.0,2.0,19.5,2.0,1001.1
